Emotions,Path,actor,Gender,Source
angry,E:\datasets\ravdess\Actor_02\03-01-05-02-02-01-02.wav,2,female,ravdess
angry,E:\datasets\ravdess\Actor_02\03-01-05-02-02-02-02.wav,2,female,ravdess
fear,E:\datasets\ravdess\Actor_02\03-01-06-01-01-01-02.wav,2,female,ravdess
fear,E:\datasets\ravdess\Actor_02\03-01-06-01-01-02-02.wav,2,female,ravdess
fear,E:\datasets\ravdess\Actor_02\03-01-06-01-02-01-02.wav,2,female,ravdess
fear,E:\datasets\ravdess\Actor_02\03-01-06-01-02-02-02.wav,2,female,ravdess
fear,E:\datasets\ravdess\Actor_02\03-01-06-02-01-01-02.wav,2,female,ravdess
fear,E:\datasets\ravdess\Actor_02\03-01-06-02-01-02-02.wav,2,female,ravdess
fear,E:\datasets\ravdess\Actor_02\03-01-06-02-02-01-02.wav,2,female,ravdess
fear,E:\datasets\ravdess\Actor_02\03-01-06-02-02-02-02.wav,2,female,ravdess
disgust,E:\datasets\ravdess\Actor_02\03-01-07-01-01-01-02.wav,2,female,ravdess
disgust,E:\datasets\ravdess\Actor_02\03-01-07-01-01-02-02.wav,2,female,ravdess
disgust,E:\datasets\ravdess\Actor_02\03-01-07-01-02-01-02.wav,2,female,ravdess
disgust,E:\datasets\ravdess\Actor_02\03-01-07-01-02-02-02.wav,2,female,ravdess
disgust,E:\datasets\ravdess\Actor_02\03-01-07-02-01-01-02.wav,2,female,ravdess
disgust,E:\datasets\ravdess\Actor_02\03-01-07-02-01-02-02.wav,2,female,ravdess
disgust,E:\datasets\ravdess\Actor_02\03-01-07-02-02-01-02.wav,2,female,ravdess
disgust,E:\datasets\ravdess\Actor_02\03-01-07-02-02-02-02.wav,2,female,ravdess
surprise,E:\datasets\ravdess\Actor_02\03-01-08-01-01-01-02.wav,2,female,ravdess
surprise,E:\datasets\ravdess\Actor_02\03-01-08-01-01-02-02.wav,2,female,ravdess
surprise,E:\datasets\ravdess\Actor_02\03-01-08-01-02-01-02.wav,2,female,ravdess
surprise,E:\datasets\ravdess\Actor_02\03-01-08-01-02-02-02.wav,2,female,ravdess
surprise,E:\datasets\ravdess\Actor_02\03-01-08-02-01-01-02.wav,2,female,ravdess
surprise,E:\datasets\ravdess\Actor_02\03-01-08-02-01-02-02.wav,2,female,ravdess
surprise,E:\datasets\ravdess\Actor_02\03-01-08-02-02-01-02.wav,2,female,ravdess
surprise,E:\datasets\ravdess\Actor_02\03-01-08-02-02-02-02.wav,2,female,ravdess
neutral,E:\datasets\ravdess\Actor_03\03-01-01-01-01-01-03.wav,3,male,ravdess
neutral,E:\datasets\ravdess\Actor_03\03-01-01-01-01-02-03.wav,3,male,ravdess
neutral,E:\datasets\ravdess\Actor_03\03-01-01-01-02-01-03.wav,3,male,ravdess
neutral,E:\datasets\ravdess\Actor_03\03-01-01-01-02-02-03.wav,3,male,ravdess
calm,E:\datasets\ravdess\Actor_03\03-01-02-01-01-01-03.wav,3,male,ravdess
calm,E:\datasets\ravdess\Actor_03\03-01-02-01-01-02-03.wav,3,male,ravdess
calm,E:\datasets\ravdess\Actor_03\03-01-02-01-02-01-03.wav,3,male,ravdess
calm,E:\datasets\ravdess\Actor_03\03-01-02-01-02-02-03.wav,3,male,ravdess
calm,E:\datasets\ravdess\Actor_03\03-01-02-02-01-01-03.wav,3,male,ravdess
calm,E:\datasets\ravdess\Actor_03\03-01-02-02-01-02-03.wav,3,male,ravdess
calm,E:\datasets\ravdess\Actor_03\03-01-02-02-02-01-03.wav,3,male,ravdess
calm,E:\datasets\ravdess\Actor_03\03-01-02-02-02-02-03.wav,3,male,ravdess
happy,E:\datasets\ravdess\Actor_03\03-01-03-01-01-01-03.wav,3,male,ravdess
happy,E:\datasets\ravdess\Actor_03\03-01-03-01-01-02-03.wav,3,male,ravdess
happy,E:\datasets\ravdess\Actor_03\03-01-03-01-02-01-03.wav,3,male,ravdess
happy,E:\datasets\ravdess\Actor_03\03-01-03-01-02-02-03.wav,3,male,ravdess
happy,E:\datasets\ravdess\Actor_03\03-01-03-02-01-01-03.wav,3,male,ravdess
happy,E:\datasets\ravdess\Actor_03\03-01-03-02-01-02-03.wav,3,male,ravdess
happy,E:\datasets\ravdess\Actor_03\03-01-03-02-02-01-03.wav,3,male,ravdess
happy,E:\datasets\ravdess\Actor_03\03-01-03-02-02-02-03.wav,3,male,ravdess
sad,E:\datasets\ravdess\Actor_03\03-01-04-01-01-01-03.wav,3,male,ravdess
sad,E:\datasets\ravdess\Actor_03\03-01-04-01-01-02-03.wav,3,male,ravdess
sad,E:\datasets\ravdess\Actor_03\03-01-04-01-02-01-03.wav,3,male,ravdess
sad,E:\datasets\ravdess\Actor_03\03-01-04-01-02-02-03.wav,3,male,ravdess
sad,E:\datasets\ravdess\Actor_03\03-01-04-02-01-01-03.wav,3,male,ravdess
sad,E:\datasets\ravdess\Actor_03\03-01-04-02-01-02-03.wav,3,male,ravdess
sad,E:\datasets\ravdess\Actor_03\03-01-04-02-02-01-03.wav,3,male,ravdess
sad,E:\datasets\ravdess\Actor_03\03-01-04-02-02-02-03.wav,3,male,ravdess
angry,E:\datasets\ravdess\Actor_03\03-01-05-01-01-01-03.wav,3,male,ravdess
angry,E:\datasets\ravdess\Actor_03\03-01-05-01-01-02-03.wav,3,male,ravdess
angry,E:\datasets\ravdess\Actor_03\03-01-05-01-02-01-03.wav,3,male,ravdess
angry,E:\datasets\ravdess\Actor_03\03-01-05-01-02-02-03.wav,3,male,ravdess
angry,E:\datasets\ravdess\Actor_03\03-01-05-02-01-01-03.wav,3,male,ravdess
angry,E:\datasets\ravdess\Actor_03\03-01-05-02-01-02-03.wav,3,male,ravdess
angry,E:\datasets\ravdess\Actor_03\03-01-05-02-02-01-03.wav,3,male,ravdess
angry,E:\datasets\ravdess\Actor_03\03-01-05-02-02-02-03.wav,3,male,ravdess
fear,E:\datasets\ravdess\Actor_03\03-01-06-01-01-01-03.wav,3,male,ravdess
fear,E:\datasets\ravdess\Actor_03\03-01-06-01-01-02-03.wav,3,male,ravdess
fear,E:\datasets\ravdess\Actor_03\03-01-06-01-02-01-03.wav,3,male,ravdess
fear,E:\datasets\ravdess\Actor_03\03-01-06-01-02-02-03.wav,3,male,ravdess
fear,E:\datasets\ravdess\Actor_03\03-01-06-02-01-01-03.wav,3,male,ravdess
fear,E:\datasets\ravdess\Actor_03\03-01-06-02-01-02-03.wav,3,male,ravdess
fear,E:\datasets\ravdess\Actor_03\03-01-06-02-02-01-03.wav,3,male,ravdess
fear,E:\datasets\ravdess\Actor_03\03-01-06-02-02-02-03.wav,3,male,ravdess
disgust,E:\datasets\ravdess\Actor_03\03-01-07-01-01-01-03.wav,3,male,ravdess
disgust,E:\datasets\ravdess\Actor_03\03-01-07-01-01-02-03.wav,3,male,ravdess
disgust,E:\datasets\ravdess\Actor_03\03-01-07-01-02-01-03.wav,3,male,ravdess
disgust,E:\datasets\ravdess\Actor_03\03-01-07-01-02-02-03.wav,3,male,ravdess
disgust,E:\datasets\ravdess\Actor_03\03-01-07-02-01-01-03.wav,3,male,ravdess
disgust,E:\datasets\ravdess\Actor_03\03-01-07-02-01-02-03.wav,3,male,ravdess
disgust,E:\datasets\ravdess\Actor_03\03-01-07-02-02-01-03.wav,3,male,ravdess
disgust,E:\datasets\ravdess\Actor_03\03-01-07-02-02-02-03.wav,3,male,ravdess
surprise,E:\datasets\ravdess\Actor_03\03-01-08-01-01-01-03.wav,3,male,ravdess
surprise,E:\datasets\ravdess\Actor_03\03-01-08-01-01-02-03.wav,3,male,ravdess
surprise,E:\datasets\ravdess\Actor_03\03-01-08-01-02-01-03.wav,3,male,ravdess
surprise,E:\datasets\ravdess\Actor_03\03-01-08-01-02-02-03.wav,3,male,ravdess
surprise,E:\datasets\ravdess\Actor_03\03-01-08-02-01-01-03.wav,3,male,ravdess
surprise,E:\datasets\ravdess\Actor_03\03-01-08-02-01-02-03.wav,3,male,ravdess
surprise,E:\datasets\ravdess\Actor_03\03-01-08-02-02-01-03.wav,3,male,ravdess
surprise,E:\datasets\ravdess\Actor_03\03-01-08-02-02-02-03.wav,3,male,ravdess
neutral,E:\datasets\ravdess\Actor_04\03-01-01-01-01-01-04.wav,4,female,ravdess
neutral,E:\datasets\ravdess\Actor_04\03-01-01-01-01-02-04.wav,4,female,ravdess
neutral,E:\datasets\ravdess\Actor_04\03-01-01-01-02-01-04.wav,4,female,ravdess
neutral,E:\datasets\ravdess\Actor_04\03-01-01-01-02-02-04.wav,4,female,ravdess
calm,E:\datasets\ravdess\Actor_04\03-01-02-01-01-01-04.wav,4,female,ravdess
calm,E:\datasets\ravdess\Actor_04\03-01-02-01-01-02-04.wav,4,female,ravdess
calm,E:\datasets\ravdess\Actor_04\03-01-02-01-02-01-04.wav,4,female,ravdess
calm,E:\datasets\ravdess\Actor_04\03-01-02-01-02-02-04.wav,4,female,ravdess
calm,E:\datasets\ravdess\Actor_04\03-01-02-02-01-01-04.wav,4,female,ravdess
calm,E:\datasets\ravdess\Actor_04\03-01-02-02-01-02-04.wav,4,female,ravdess
calm,E:\datasets\ravdess\Actor_04\03-01-02-02-02-01-04.wav,4,female,ravdess
calm,E:\datasets\ravdess\Actor_04\03-01-02-02-02-02-04.wav,4,female,ravdess
happy,E:\datasets\ravdess\Actor_04\03-01-03-01-01-01-04.wav,4,female,ravdess
happy,E:\datasets\ravdess\Actor_04\03-01-03-01-01-02-04.wav,4,female,ravdess
happy,E:\datasets\ravdess\Actor_04\03-01-03-01-02-01-04.wav,4,female,ravdess
happy,E:\datasets\ravdess\Actor_04\03-01-03-01-02-02-04.wav,4,female,ravdess
happy,E:\datasets\ravdess\Actor_04\03-01-03-02-01-01-04.wav,4,female,ravdess
happy,E:\datasets\ravdess\Actor_04\03-01-03-02-01-02-04.wav,4,female,ravdess
happy,E:\datasets\ravdess\Actor_04\03-01-03-02-02-01-04.wav,4,female,ravdess
happy,E:\datasets\ravdess\Actor_04\03-01-03-02-02-02-04.wav,4,female,ravdess
sad,E:\datasets\ravdess\Actor_04\03-01-04-01-01-01-04.wav,4,female,ravdess
sad,E:\datasets\ravdess\Actor_04\03-01-04-01-01-02-04.wav,4,female,ravdess
sad,E:\datasets\ravdess\Actor_04\03-01-04-01-02-01-04.wav,4,female,ravdess
sad,E:\datasets\ravdess\Actor_04\03-01-04-01-02-02-04.wav,4,female,ravdess
sad,E:\datasets\ravdess\Actor_04\03-01-04-02-01-01-04.wav,4,female,ravdess
sad,E:\datasets\ravdess\Actor_04\03-01-04-02-01-02-04.wav,4,female,ravdess
sad,E:\datasets\ravdess\Actor_04\03-01-04-02-02-01-04.wav,4,female,ravdess
sad,E:\datasets\ravdess\Actor_04\03-01-04-02-02-02-04.wav,4,female,ravdess
angry,E:\datasets\ravdess\Actor_04\03-01-05-01-01-01-04.wav,4,female,ravdess
angry,E:\datasets\ravdess\Actor_04\03-01-05-01-01-02-04.wav,4,female,ravdess
angry,E:\datasets\ravdess\Actor_04\03-01-05-01-02-01-04.wav,4,female,ravdess
angry,E:\datasets\ravdess\Actor_04\03-01-05-01-02-02-04.wav,4,female,ravdess
angry,E:\datasets\ravdess\Actor_04\03-01-05-02-01-01-04.wav,4,female,ravdess
angry,E:\datasets\ravdess\Actor_04\03-01-05-02-01-02-04.wav,4,female,ravdess
angry,E:\datasets\ravdess\Actor_04\03-01-05-02-02-01-04.wav,4,female,ravdess
angry,E:\datasets\ravdess\Actor_04\03-01-05-02-02-02-04.wav,4,female,ravdess
fear,E:\datasets\ravdess\Actor_04\03-01-06-01-01-01-04.wav,4,female,ravdess
fear,E:\datasets\ravdess\Actor_04\03-01-06-01-01-02-04.wav,4,female,ravdess
fear,E:\datasets\ravdess\Actor_04\03-01-06-01-02-01-04.wav,4,female,ravdess
fear,E:\datasets\ravdess\Actor_04\03-01-06-01-02-02-04.wav,4,female,ravdess
fear,E:\datasets\ravdess\Actor_04\03-01-06-02-01-01-04.wav,4,female,ravdess
fear,E:\datasets\ravdess\Actor_04\03-01-06-02-01-02-04.wav,4,female,ravdess
fear,E:\datasets\ravdess\Actor_04\03-01-06-02-02-01-04.wav,4,female,ravdess
fear,E:\datasets\ravdess\Actor_04\03-01-06-02-02-02-04.wav,4,female,ravdess
disgust,E:\datasets\ravdess\Actor_04\03-01-07-01-01-01-04.wav,4,female,ravdess
disgust,E:\datasets\ravdess\Actor_04\03-01-07-01-01-02-04.wav,4,female,ravdess
disgust,E:\datasets\ravdess\Actor_04\03-01-07-01-02-01-04.wav,4,female,ravdess
disgust,E:\datasets\ravdess\Actor_04\03-01-07-01-02-02-04.wav,4,female,ravdess
disgust,E:\datasets\ravdess\Actor_04\03-01-07-02-01-01-04.wav,4,female,ravdess
disgust,E:\datasets\ravdess\Actor_04\03-01-07-02-01-02-04.wav,4,female,ravdess
disgust,E:\datasets\ravdess\Actor_04\03-01-07-02-02-01-04.wav,4,female,ravdess
disgust,E:\datasets\ravdess\Actor_04\03-01-07-02-02-02-04.wav,4,female,ravdess
surprise,E:\datasets\ravdess\Actor_04\03-01-08-01-01-01-04.wav,4,female,ravdess
surprise,E:\datasets\ravdess\Actor_04\03-01-08-01-01-02-04.wav,4,female,ravdess
surprise,E:\datasets\ravdess\Actor_04\03-01-08-01-02-01-04.wav,4,female,ravdess
surprise,E:\datasets\ravdess\Actor_04\03-01-08-01-02-02-04.wav,4,female,ravdess
surprise,E:\datasets\ravdess\Actor_04\03-01-08-02-01-01-04.wav,4,female,ravdess
surprise,E:\datasets\ravdess\Actor_04\03-01-08-02-01-02-04.wav,4,female,ravdess
surprise,E:\datasets\ravdess\Actor_04\03-01-08-02-02-01-04.wav,4,female,ravdess
surprise,E:\datasets\ravdess\Actor_04\03-01-08-02-02-02-04.wav,4,female,ravdess
neutral,E:\datasets\ravdess\Actor_05\03-01-01-01-01-01-05.wav,5,male,ravdess
neutral,E:\datasets\ravdess\Actor_05\03-01-01-01-01-02-05.wav,5,male,ravdess
neutral,E:\datasets\ravdess\Actor_05\03-01-01-01-02-01-05.wav,5,male,ravdess
neutral,E:\datasets\ravdess\Actor_05\03-01-01-01-02-02-05.wav,5,male,ravdess
calm,E:\datasets\ravdess\Actor_05\03-01-02-01-01-01-05.wav,5,male,ravdess
calm,E:\datasets\ravdess\Actor_05\03-01-02-01-01-02-05.wav,5,male,ravdess
calm,E:\datasets\ravdess\Actor_05\03-01-02-01-02-01-05.wav,5,male,ravdess
calm,E:\datasets\ravdess\Actor_05\03-01-02-01-02-02-05.wav,5,male,ravdess
calm,E:\datasets\ravdess\Actor_05\03-01-02-02-01-01-05.wav,5,male,ravdess
calm,E:\datasets\ravdess\Actor_05\03-01-02-02-01-02-05.wav,5,male,ravdess
calm,E:\datasets\ravdess\Actor_05\03-01-02-02-02-01-05.wav,5,male,ravdess
calm,E:\datasets\ravdess\Actor_05\03-01-02-02-02-02-05.wav,5,male,ravdess
happy,E:\datasets\ravdess\Actor_05\03-01-03-01-01-01-05.wav,5,male,ravdess
happy,E:\datasets\ravdess\Actor_05\03-01-03-01-01-02-05.wav,5,male,ravdess
happy,E:\datasets\ravdess\Actor_05\03-01-03-01-02-01-05.wav,5,male,ravdess
happy,E:\datasets\ravdess\Actor_05\03-01-03-01-02-02-05.wav,5,male,ravdess
happy,E:\datasets\ravdess\Actor_05\03-01-03-02-01-01-05.wav,5,male,ravdess
happy,E:\datasets\ravdess\Actor_05\03-01-03-02-01-02-05.wav,5,male,ravdess
happy,E:\datasets\ravdess\Actor_05\03-01-03-02-02-01-05.wav,5,male,ravdess
happy,E:\datasets\ravdess\Actor_05\03-01-03-02-02-02-05.wav,5,male,ravdess
sad,E:\datasets\ravdess\Actor_05\03-01-04-01-01-01-05.wav,5,male,ravdess
sad,E:\datasets\ravdess\Actor_05\03-01-04-01-01-02-05.wav,5,male,ravdess
sad,E:\datasets\ravdess\Actor_05\03-01-04-01-02-01-05.wav,5,male,ravdess
sad,E:\datasets\ravdess\Actor_05\03-01-04-01-02-02-05.wav,5,male,ravdess
sad,E:\datasets\ravdess\Actor_05\03-01-04-02-01-01-05.wav,5,male,ravdess
sad,E:\datasets\ravdess\Actor_05\03-01-04-02-01-02-05.wav,5,male,ravdess
sad,E:\datasets\ravdess\Actor_05\03-01-04-02-02-01-05.wav,5,male,ravdess
sad,E:\datasets\ravdess\Actor_05\03-01-04-02-02-02-05.wav,5,male,ravdess
angry,E:\datasets\ravdess\Actor_05\03-01-05-01-01-01-05.wav,5,male,ravdess
angry,E:\datasets\ravdess\Actor_05\03-01-05-01-01-02-05.wav,5,male,ravdess
angry,E:\datasets\ravdess\Actor_05\03-01-05-01-02-01-05.wav,5,male,ravdess
angry,E:\datasets\ravdess\Actor_05\03-01-05-01-02-02-05.wav,5,male,ravdess
angry,E:\datasets\ravdess\Actor_05\03-01-05-02-01-01-05.wav,5,male,ravdess
angry,E:\datasets\ravdess\Actor_05\03-01-05-02-01-02-05.wav,5,male,ravdess
angry,E:\datasets\ravdess\Actor_05\03-01-05-02-02-01-05.wav,5,male,ravdess
angry,E:\datasets\ravdess\Actor_05\03-01-05-02-02-02-05.wav,5,male,ravdess
fear,E:\datasets\ravdess\Actor_05\03-01-06-01-01-01-05.wav,5,male,ravdess
fear,E:\datasets\ravdess\Actor_05\03-01-06-01-01-02-05.wav,5,male,ravdess
fear,E:\datasets\ravdess\Actor_05\03-01-06-01-02-01-05.wav,5,male,ravdess
fear,E:\datasets\ravdess\Actor_05\03-01-06-01-02-02-05.wav,5,male,ravdess
fear,E:\datasets\ravdess\Actor_05\03-01-06-02-01-01-05.wav,5,male,ravdess
fear,E:\datasets\ravdess\Actor_05\03-01-06-02-01-02-05.wav,5,male,ravdess
fear,E:\datasets\ravdess\Actor_05\03-01-06-02-02-01-05.wav,5,male,ravdess
fear,E:\datasets\ravdess\Actor_05\03-01-06-02-02-02-05.wav,5,male,ravdess
disgust,E:\datasets\ravdess\Actor_05\03-01-07-01-01-01-05.wav,5,male,ravdess
disgust,E:\datasets\ravdess\Actor_05\03-01-07-01-01-02-05.wav,5,male,ravdess
disgust,E:\datasets\ravdess\Actor_05\03-01-07-01-02-01-05.wav,5,male,ravdess
disgust,E:\datasets\ravdess\Actor_05\03-01-07-01-02-02-05.wav,5,male,ravdess
disgust,E:\datasets\ravdess\Actor_05\03-01-07-02-01-01-05.wav,5,male,ravdess
disgust,E:\datasets\ravdess\Actor_05\03-01-07-02-01-02-05.wav,5,male,ravdess
disgust,E:\datasets\ravdess\Actor_05\03-01-07-02-02-01-05.wav,5,male,ravdess
disgust,E:\datasets\ravdess\Actor_05\03-01-07-02-02-02-05.wav,5,male,ravdess
surprise,E:\datasets\ravdess\Actor_05\03-01-08-01-01-01-05.wav,5,male,ravdess
surprise,E:\datasets\ravdess\Actor_05\03-01-08-01-01-02-05.wav,5,male,ravdess
surprise,E:\datasets\ravdess\Actor_05\03-01-08-01-02-01-05.wav,5,male,ravdess
